symbol,entry_date,entry_close,peak_date,peak_close,multiple,days_to_peak,shares,entry_mcap_approx,cap_bucket
AVTX,2017-05-26,1612.800048828125,2019-03-01,17798.400390625,11.0357141938069,644,53629989.01960784,86494448909.47534,>50B
AVTX,2017-08-04,1774.0799560546875,2019-03-01,17798.400390625,10.03246800116395,574,53629989.01960784,95143888563.11925,>50B
AVXL,2019-08-02,2.4100000858306885,2021-07-09,25.06999969482422,10.40248912944872,707,92696842.12765956,223399397.4838933,50-300M
AVXL,2019-11-08,2.4700000286102295,2021-07-09,25.06999969482422,10.14979732973125,609,92696842.12765956,228961202.70739704,50-300M
AVXL,2019-12-13,2.440000057220459,2021-07-09,25.06999969482422,10.274589797912899,574,92696842.12765956,226180300.0956452,50-300M
AVXL,2020-03-20,2.430000066757202,2021-07-09,25.06999969482422,10.316872018970662,476,92696842.12765956,225253332.55839455,50-300M
AXG,2023-09-15,2.3299999237060547,2024-03-08,28.049999237060547,12.038626676195225,175,201010878.0487805,468355330.5177456,300M-2B
AXG,2023-10-06,2.25,2024-03-08,28.049999237060547,12.466666327582466,154,201010878.0487805,452274475.6097561,300M-2B
AXG,2024-01-05,2.5,2024-03-08,28.049999237060547,11.219999694824219,63,201010878.0487805,502527195.1219512,300M-2B
AXSM,2017-12-22,5.224999904632568,2019-12-20,100.66999816894531,19.266985647155646,728,52380817.99948307,273689769.051875,50-300M
AXTI,2024-02-16,2.4000000953674316,2026-02-13,24.239999771118164,10.099999503294647,728,65573212.00328857,157375715.06144136,50-300M
AXTI,2024-03-15,4.869999885559082,2026-03-13,48.86000061035156,10.03285457053812,728,65573212.00328857,319341534.9517568,300M-2B
AZ,2024-04-12,1.062000036239624,2025-07-11,11.420000076293945,10.753295373444976,455,44026466.95652174,46756109.5033287,<50M
BATL,2024-12-20,1.3899999856948853,2026-03-06,22.360000610351562,16.08633153990531,441,57282155.45454545,79622195.26239038,50-300M
BATL,2025-06-27,1.409999966621399,2026-03-06,22.360000610351562,15.858156836648691,252,57282155.45454545,80767837.27891088,50-300M
BBW,2020-03-20,1.892799973487854,2021-12-10,21.459999084472656,11.33770043589361,630,12319335.01540832,23318036.99055286,<50M
BBW,2020-06-26,1.9586999416351318,2021-12-10,21.459999084472656,10.956246349074657,532,12319335.01540832,24129880.775663912,<50M
BBW,2020-08-21,2.071700096130371,2021-12-10,21.459999084472656,10.358641738037642,476,12319335.01540832,25521967.535683665,<50M
BCRX,2019-11-15,1.75,2021-08-06,17.610000610351562,10.062857491629464,630,255535105.0175029,447186433.7806301,300M-2B
BCRX,2020-03-20,1.8700000047683716,2022-02-18,18.739999771118164,10.02139022638099,700,255535105.0175029,477850647.6012168,300M-2B
BE,2019-09-20,3.319999933242798,2021-02-05,42.36000061035156,12.759036584972634,504,294527346.0009448,977830769.0613152,300M-2B
BE,2020-03-20,4.079999923706055,2021-02-05,42.36000061035156,10.382353284917219,322,294527346.0009448,1201671549.2132015,300M-2B
BE,2023-10-27,9.779999732971191,2025-10-17,111.5,11.400818307192937,721,294527346.0009448,2880477365.241954,2-10B
BE,2024-01-12,12.729999542236328,2025-11-07,135.2100067138672,10.621367759304281,665,294527346.0009448,3749332979.768108,2-10B
BEEM,2019-04-19,5.5,2021-01-01,73.77999877929688,13.414545232599432,623,22633315.102040816,124483233.06122449,50-300M
BEEM,2020-03-20,6.809999942779541,2021-01-01,73.77999877929688,10.834067459504727,287,22633315.102040816,154132874.54980928,50-300M
BEEM,2020-04-03,7.119999885559082,2021-01-01,73.77999877929688,10.36235954567062,273,22633315.102040816,161149200.93635327,50-300M
BEEM,2020-06-19,6.909999847412109,2021-01-01,73.77999877929688,10.677279364474733,196,22633315.102040816,156396203.90153223,50-300M
